pre_flow,true_flow,src_ids,dst_ids
32.55138888888889,37.0,20,39
47.3,42.0,14,221
51.5,34.0,136,209
47.0,51.0,51,136
46.8,34.0,52,205
20.241145476225803,20.0,65,116
32.955,41.0,5,66
16.07106663718119,11.0,46,155
211.1,202.0,12,101
1914.1,1350.0,11,12
18.733916940872266,11.0,19,225
22.4,40.0,36,42
51.7,49.0,12,223
22.71733502091012,12.0,73,159
150.8,90.0,7,16
25.89084429824561,12.0,32,130
810.8,522.0,2,34
17.7902849002849,13.0,4,139
37.6,11.0,94,132
248.4,179.0,12,40
13.175442593638877,12.0,28,65
227.2,115.0,3,89
15.799447252783557,25.0,20,70
130.3,201.0,0,52
39.460303030303024,42.0,7,66
63.2,70.0,8,27
26.295464216634436,22.0,3,81
240.3,162.0,22,49
36.51833333333333,18.0,60,223
1690.8,1712.0,15,24
66.92857142857142,46.0,1,31
13.73,11.0,47,161
56.6,25.0,40,209
70.0421052631579,69.0,5,76
15.815871997065836,11.0,117,216
141.6,175.0,0,188
72.6,63.0,9,93
15.350858407879281,31.0,1,116
52.339999999999996,47.0,7,231
119.7,73.0,34,136
15.775467021177093,14.0,59,228
15.226716258635497,57.0,35,45
18.6,22.0,51,211
14.53909383186473,11.0,46,65
21.9,37.0,163,200
38.8,28.0,32,73
27.066887709991157,27.0,42,231
16.37878642191142,12.0,54,159
17.45064935064935,13.0,97,101
24.086775740072703,12.0,46,71
25.370595533498758,13.0,18,71
17.002485821926616,14.0,101,133
27.125175438596493,22.0,46,70
28.05833333333333,29.0,30,62
15.6,15.0,45,243
24.6,11.0,110,136
13.5,12.0,53,209
2098.0,1638.0,13,200
64.1,28.0,57,174
65.1,43.0,188,243
45.69047619047619,52.0,14,39
4527.3,4125.0,2,83
28.65048101811907,45.0,29,93
32.21089244851258,45.0,6,114
1618.1,1586.0,6,132
106.3,92.0,59,83
17.316903225806453,25.0,2,206
24.25638888888889,34.0,3,61
32.1,29.0,26,77
31.13024068322981,17.0,91,146
196.2,165.0,3,80
32.0,23.0,26,161
15.040221348030679,18.0,30,76
197.8,264.0,34,185
18.193005015959873,12.0,1,109
61.2,117.0,203,241
29.2,39.0,11,140
117.65555555555557,12.0,3,99
18.6,30.0,117,136
48.96221395881007,16.0,0,192
72.6,49.0,4,51
17.1,22.0,137,185
23.1,18.0,28,209
28.7,30.0,140,185
20.06094696996864,22.0,64,87
21.76184210526316,14.0,24,43
23.116269841269844,12.0,15,115
26.85833333333333,37.0,7,229
22.1,22.0,66,132
46.52666666666667,22.0,7,79
17.60658382442409,14.0,20,43
30.0,20.0,29,161
17.0645112467785,11.0,209,245
18.750020433159968,16.0,53,176
24.32,18.0,4,97
215.4,127.0,26,63
103.9,75.0,11,23
206.3,121.0,19,24
516.1,520.0,4,24
16.9,22.0,88,209
77.9,64.0,0,230
679.6,497.0,49,107
24.248481116584564,13.0,8,199
18.471190476190475,11.0,43,82
85.5,66.0,24,161
14.377406353722142,12.0,77,92
45.5,40.0,185,203
13.210463820483506,19.0,19,65
