pre_flow,true_flow,src_ids,dst_ids
16.60304580896686,23.0,51,230
30.76126984126984,37.0,20,39
46.91111111111112,42.0,14,221
40.833333333333336,34.0,136,209
54.833333333333336,51.0,51,136
37.4,34.0,52,205
45.48737060041408,20.0,65,116
35.93333333333333,41.0,5,66
20.732000000000003,11.0,46,155
209.6,202.0,12,101
1699.4,1350.0,11,12
17.682936507936507,11.0,19,225
26.633333333333333,40.0,36,42
41.46666666666667,49.0,12,223
25.004444444444445,12.0,73,159
226.16666666666666,90.0,7,16
19.84814233385662,12.0,32,130
705.8333333333334,522.0,2,34
19.376190476190477,13.0,4,139
30.033333333333335,11.0,94,132
232.06666666666666,179.0,12,40
13.542328042328043,12.0,28,65
167.86666666666667,115.0,3,89
19.934722222222224,25.0,20,70
162.83333333333334,201.0,0,52
29.75714285714286,42.0,7,66
88.93333333333334,70.0,8,27
32.56666666666667,22.0,3,81
334.2,162.0,22,49
33.53333333333333,18.0,60,223
1888.8,1712.0,15,24
74.5,46.0,1,31
22.261904761904763,11.0,47,161
48.156689342403624,25.0,40,209
69.2,69.0,5,76
18.61718954248366,11.0,117,216
166.53333333333333,175.0,0,188
66.6,63.0,9,93
40.96666666666667,31.0,1,116
57.4,47.0,7,231
114.66666666666667,73.0,34,136
15.624801324590301,14.0,59,228
25.390158730158728,57.0,35,45
20.266666666666666,22.0,51,211
20.475,11.0,46,65
59.86666666666667,37.0,163,200
41.36666666666667,28.0,32,73
22.120238095238097,27.0,42,231
16.172222222222224,12.0,54,159
21.066666666666666,13.0,97,101
35.06666666666667,12.0,46,71
75.56666666666666,13.0,18,71
19.364237984237985,14.0,101,133
31.233333333333334,22.0,46,70
22.494444444444447,29.0,30,62
16.366666666666667,15.0,45,243
17.0,11.0,110,136
20.033333333333335,12.0,53,209
2064.8333333333335,1638.0,13,200
48.46666666666667,28.0,57,174
25.566666666666666,43.0,188,243
38.20166666666667,52.0,14,39
4546.8,4125.0,2,83
28.348000000000003,45.0,29,93
44.06666666666667,45.0,6,114
1240.4,1586.0,6,132
98.53333333333333,92.0,59,83
26.858333333333334,25.0,2,206
32.32476190476191,34.0,3,61
48.5,29.0,26,77
19.95,17.0,91,146
190.53333333333333,165.0,3,80
33.766666666666666,23.0,26,161
18.258333333333333,18.0,30,76
188.83333333333334,264.0,34,185
23.266666666666666,12.0,1,109
47.96666666666667,117.0,203,241
31.1,39.0,11,140
183.36666666666667,12.0,3,99
23.866666666666667,30.0,117,136
45.266666666666666,16.0,0,192
59.96666666666667,49.0,4,51
21.133333333333333,22.0,137,185
24.395652173913042,18.0,28,209
29.366666666666667,30.0,140,185
29.957575757575757,22.0,64,87
19.733333333333334,14.0,24,43
21.566666666666666,12.0,15,115
28.533333333333335,37.0,7,229
17.6,22.0,66,132
30.533333333333335,22.0,7,79
15.607936507936508,14.0,20,43
28.1,20.0,29,161
15.818985507246376,11.0,209,245
17.2,16.0,53,176
23.709523809523812,18.0,4,97
175.33333333333334,127.0,26,63
65.56666666666666,75.0,11,23
233.3,121.0,19,24
777.6,520.0,4,24
24.723356009070297,22.0,88,209
61.96666666666667,64.0,0,230
837.4666666666667,497.0,49,107
50.84791666666667,13.0,8,199
18.466666666666665,11.0,43,82
75.4,66.0,24,161
18.67556536127965,12.0,77,92
50.233333333333334,40.0,185,203
14.216587301587303,19.0,19,65
88.03333333333333,508.0,16,52
16.548148148148147,14.0,26,65
19.645629257693212,28.0,67,72
34.5,12.0,116,200
145.06666666666666,167.0,73,78
71.43333333333334,132.0,107,211
4350.866666666667,7211.0,201,241
1685.0666666666666,2032.0,0,205
20.61262626262626,15.0,30,215
18.427272727272726,14.0,88,211
44.36666666666667,44.0,174,205
25.233333333333334,11.0,85,199
100.3,55.0,4,26
24.2,20.0,2,168
20.738888888888887,15.0,18,224
27.166666666666668,24.0,210,211
50.6,50.0,3,236
37.7,22.0,3,92
22.695238095238096,11.0,60,237
84.53333333333333,66.0,60,201
33.225641025641025,29.0,15,90
23.266666666666666,19.0,47,137
19.693827160493825,16.0,40,129
21.933333333333334,14.0,7,168
58.56666666666667,129.0,161,244
16.638962148962147,14.0,34,231
123.66666666666667,114.0,1,210
38.0,39.0,12,91
16.866666666666667,13.0,5,67
33.7,32.0,73,244
19.59614814814815,15.0,97,159
30.1,12.0,24,46
111.63333333333334,35.0,220,241
76.93333333333334,101.0,29,42
16.113780480791352,18.0,54,226
56.833333333333336,35.0,35,200
16.057222222222222,14.0,132,139
2767.2,2516.0,24,83
41.666666666666664,45.0,52,185
489.3666666666667,401.0,7,202
56.4,53.0,5,231
26.586111111111112,26.0,29,223
18.333333333333332,13.0,114,136
69.43333333333334,59.0,20,38
24.432013366750205,25.0,91,157
27.133333333333333,27.0,6,233
59.166666666666664,17.0,0,240
32.333333333333336,27.0,1,46
26.066666666666666,22.0,100,136
25.355555555555554,37.0,18,216
28.573763736263736,48.0,34,108
23.31142857142857,21.0,31,82
32.63333333333333,28.0,9,46
421.46666666666664,290.0,13,243
16.591666666666665,13.0,53,167
21.3,11.0,35,81
28.333333333333332,14.0,83,138
5651.533333333334,6861.0,83,201
26.666666666666668,25.0,24,163
15.728571428571428,13.0,73,245
27.962185185185184,12.0,107,159
66.86666666666666,48.0,31,63
47.833333333333336,29.0,4,100
16.327902711323766,16.0,59,110
18.233333333333334,11.0,32,70
1463.8333333333333,1533.0,107,241
25.6,21.0,57,96
23.09,18.0,30,56
1562.8,1385.0,1,13
20.393798449612405,14.0,61,145
18.733333333333334,12.0,67,241
78.56666666666666,107.0,0,114
25.186666666666667,12.0,19,98
32.44814814814815,42.0,3,225
40.13333333333333,51.0,0,216
103.83333333333333,110.0,15,227
386.4,350.0,5,40
3696.5333333333333,3495.0,12,241
85.86666666666666,85.0,14,33
18.586666666666666,13.0,34,94
27.629391891891892,18.0,29,157
18.111111111111107,48.0,16,105
14.391948470209341,17.0,16,43
34.5,43.0,4,46
560.2666666666667,648.0,5,22
23.666666666666668,18.0,7,144
42.833333333333336,41.0,78,209
25.059557109557108,11.0,95,161
25.833333333333332,40.0,1,245
28.135150183150184,28.0,22,110
27.81111111111111,17.0,83,216
946.6333333333333,818.0,7,18
18.997874396135263,14.0,22,245
30.333333333333332,31.0,41,241
52.733333333333334,20.0,5,138
18.833333333333332,20.0,54,89
39.13333333333333,45.0,18,221
99.5,85.0,7,52
59.96666666666667,50.0,2,97
122.63333333333334,136.0,188,241
20.866666666666667,12.0,5,208
33.7,29.0,42,161
32.733333333333334,26.0,11,64
41.1,69.0,23,132
54.53333333333333,28.0,233,241
247.63333333333333,25.0,10,22
36.5,37.0,5,220
1014.1666666666666,1251.0,6,14
47.766666666666666,53.0,15,41
40.13333333333333,37.0,144,201
23.2957264957265,23.0,76,103
700.2666666666667,315.0,13,18
998.9333333333333,982.0,13,132
201.33333333333334,228.0,5,211
15.091666666666667,17.0,35,48
30.633333333333333,22.0,201,206
136.1,126.0,50,205
61.03333333333333,71.0,63,215
37.63333333333333,32.0,40,214
25.733333333333334,13.0,3,55
97.76666666666667,73.0,19,34
155.53333333333333,172.0,4,8
30.533333333333335,30.0,23,73
131.9,167.0,210,241
50.3,14.0,220,243
30.366666666666667,22.0,9,35
41.166666666666664,41.0,26,46
315.6,194.0,17,24
421.06666666666666,218.0,205,243
18.549112351493307,11.0,91,226
1601.9666666666667,1646.0,7,11
77.6,80.0,33,132
30.1,24.0,84,204
59.8,23.0,34,89
210.76666666666668,234.0,23,201
18.52857142857143,13.0,42,245
62.666666666666664,94.0,185,210
30.872444444444447,18.0,20,218
2680.633333333333,3820.0,9,83
33.55855855855856,35.0,26,80
49.2,60.0,14,161
66.26666666666667,29.0,21,112
20.1,11.0,2,37
50.6,51.0,13,84
3666.233333333333,2999.0,12,83
78.9,70.0,20,242
211.53333333333333,182.0,40,132
15.782777445763019,12.0,109,114
202.8,154.0,12,237
57.833333333333336,31.0,17,38
436.8666666666667,241.0,21,241
18.87857142857143,11.0,40,45
3374.0333333333333,3082.0,5,15
103.73333333333333,83.0,59,63
16.089222222222222,13.0,103,159
77.56666666666666,73.0,13,214
29.904166666666665,26.0,32,146
37.21666666666667,12.0,32,125
38.233333333333334,23.0,54,132
51.766666666666666,50.0,94,201
36.86666666666667,21.0,19,38
26.927755731922396,15.0,49,230
20.792784992784995,19.0,20,245
107.6,149.0,39,83
49.833333333333336,67.0,15,110
87.03333333333333,88.0,38,132
32.9,48.0,22,243
24.366666666666667,32.0,45,185
30.22222222222222,29.0,15,137
28.933333333333334,21.0,40,59
90.53333333333333,57.0,18,210
18.133333333333333,27.0,130,185
56.8,66.0,5,110
22.47916292303085,26.0,53,216
3012.5,2974.0,1,2
48.416666666666664,86.0,8,19
39.53333333333333,28.0,200,218
109.93333333333334,104.0,63,214
137.13333333333333,84.0,34,40
13.090868356789409,12.0,80,230
56.766666666666666,46.0,7,118
21.266666666666666,22.0,97,185
54.1,69.0,96,211
18.78895021645021,13.0,80,236
1470.8666666666666,1693.0,9,24
