pre_flow,true_flow,src_ids,dst_ids
39.265151515151516,49.0,34,209
22.7,23.0,52,73
118.16666666666667,96.0,63,227
18.876190476190473,24.0,70,200
400.8333333333333,193.0,23,241
85.8,80.0,28,63
26.608333333333334,30.0,25,78
20.99815386212267,15.0,32,68
55.8,52.0,3,121
16.40510359669271,18.0,36,217
21.6303137973138,19.0,77,226
25.4,26.0,76,223
110.6,85.0,51,59
90.46666666666667,133.0,107,237
31.442110177404295,12.0,132,218
66.24285714285715,44.0,15,60
251.93333333333334,189.0,24,204
22.1478835978836,18.0,204,236
28.0,17.0,13,109
100.825,106.0,9,89
88.43333333333334,103.0,2,203
29.933333333333334,32.0,8,84
127.4,166.0,2,227
674.4333333333333,482.0,42,241
21.5,32.0,38,77
114.03333333333333,114.0,2,52
18.586916380403228,18.0,9,216
20.275,12.0,88,115
26.466666666666665,25.0,10,20
368.9,257.0,21,200
50.4,76.0,9,215
17.40203609389884,11.0,31,215
472.96666666666664,539.0,3,50
42.333333333333336,23.0,32,49
25.27083139083139,32.0,4,245
21.8,28.0,3,48
62.86666666666667,39.0,60,83
2093.733333333333,1981.0,3,132
19.839345238095238,11.0,50,121
23.063689780005568,16.0,22,174
19.698813197523727,17.0,34,110
32.01111111111111,20.0,49,234
82.46666666666667,51.0,12,88
55.32083333333333,24.0,1,54
42.37777777777777,37.0,200,230
18.58,30.0,53,105
66.3,31.0,49,57
19.310432482171617,12.0,19,111
1010.7666666666667,1138.0,2,185
72.8,87.0,36,200
21.734603174603176,16.0,5,166
21.594011544011543,11.0,108,131
175.73333333333332,144.0,11,101
23.19679551442709,17.0,21,54
36.53333333333333,29.0,24,221
50.5,29.0,93,132
15.95831264864285,25.0,204,226
34.06666666666667,33.0,12,97
49.986666666666665,18.0,195,200
817.5666666666667,934.0,136,201
66.9,25.0,174,210
21.466761716544323,18.0,32,215
35.67222222222222,12.0,133,210
16.095951737050132,18.0,35,64
17.752282547166793,13.0,36,70
21.983333333333334,17.0,24,44
21.5512091503268,11.0,26,129
15.645634920634922,12.0,31,237
148.53333333333333,78.0,101,107
44.708333333333336,28.0,24,91
113.8,109.0,9,244
29.904166666666665,19.0,78,88
14.367712494382207,14.0,110,226
31.378914141414143,36.0,0,225
27.61875,19.0,62,223
129.3,131.0,9,47
33.95641025641025,48.0,34,242
477.6666666666667,12.0,147,201
35.2,11.0,205,223
472.3666666666667,374.0,50,200
29.367251461988303,17.0,6,64
17.68226851851852,11.0,11,117
444.6666666666667,360.0,22,24
21.190291638186373,11.0,26,155
24.70327380952381,21.0,40,236
21.3,16.0,188,244
28.69333333333333,20.0,19,210
15.694571791658927,13.0,40,159
17.511256657995787,15.0,21,111
