lon	lat	adname_id	cost	type_id	ranking	comment	area	total_trip	level	mean_time
116.447024	39.928544	2	87	3	4.2	2811	35673.0037	46	1	2.0
116.330436	39.944623	7	20	2	4.5	120	16954.02291	135	1	1.0
115.739264	39.849094	5	60	5	4.5	209	5410541.629	67	4	2.5
116.559811	40.005945	2	138	6	4.4	1128	35000.0	0	1	4.0
116.493084	40.037948	2	32	2	4.9	11	3000.0	45	1	1.5
116.085523	39.860994	6	45	5	4.5	274	4861325.835	75	1	2.5
116.387191	39.890058	15	40	1	4.3	255	979.6936927	167	1	1.5
116.371739	39.923387	15	15	2	4.7	794	27721.05713	166	1	2.5
116.744026	39.87012	14	0	5	4.7	407	5808489.415	133	1	6.0
116.394748	39.939329	15	0	4	4.4	662	18111.23657	3421	1	2.0
116.405433	39.894234	4	0	5	4.9	119	8116212.268	210	1	1.5
116.574114	40.042789	13	100	2	4.7	61	23236.28244	60	1	1.5
116.049693	39.966158	9	25	5	4.4	209	208940.7425	159	3	8.0
116.081952	40.14064	1	30	5	4.1	598	17355511.65	1516	2	4.5
116.333946	39.937435	15	10	2	4.6	319	6557.157229	92	1	1.0
116.687451	39.908805	14	0	4	4.8	8	1901139.866	91	3	1.0
116.432569	39.932811	4	20	2	4.6	114	0.0	67	1	1.0
116.434326	39.907206	4	20	1	4.5	214	14898.92496	125	1	1.0
116.656299	40.447449	8	240	6	4.4	1091	420941.5961	13	1	8.0
116.59389	39.659096	3	60	3	4.6	1886	167816.4152	59	3	3.5
116.153459	39.872749	6	339	6	4.5	524	260094.1282	10	1	4.0
116.381429	40.002551	2	40	2	4.5	114	5149.606305	95	1	2.5
115.529003	39.672725	5	42	5	4.5	348	5498692.714	63	1	1.5
116.104067	40.068588	7	9	5	4.1	134	26000000.0	322	2	3.0
116.397847	39.882286	15	0	4	4.7	63	26860.59543	33	1	12.0
116.055738	39.906618	9	50	1	4.7	15	6689.365721	88	3	0.75
116.808601	40.123386	13	0	5	4.4	151	2893945.527	40	3	4.0
116.154595	39.793548	6	19	3	4.7	1616	233335.0	21	1	8.0
116.526044	39.910659	2	50	2	4.7	392	23486.78111	68	1	2.0
116.433196	39.920688	4	0	4	4.6	121	0.0	70	1	2.0
116.949547	40.58737	10	35	5	4.3	52	0.0	46	3	1.0
116.027453	39.893358	9	54	5	4.4	98	0.0	24	1	1.0
115.826676	39.674028	5	30	5	4.4	44	4946245.54	74	3	2.0
116.607927	39.965633	2	98	3	4.1	249	705046.5147	103	3	1.5
116.372321	39.924971	15	0	1	4.5	182	10470.98737	160	1	3.0
116.244721	39.905924	12	5	2	4.4	425	332733.4086	54	1	1.5
116.390183	39.963182	2	0	1	4.4	84	0.0	114	1	0.5
117.188245	40.684349	10	33	1	4.6	32	365952.1097	47	1	1.5
116.217826	40.291272	1	35	1	4.5	44	68398.48623	279	1	1.0
116.494254	39.98877	2	0	2	4.4	17	27141.76635	12	1	2.0
116.019232	40.3548	16	0	3	4.5	177	0.0	70	1	0.5
116.636663	40.485794	8	35	5	4.5	93	15858350.28	31	2	2.5
116.385492	39.957583	15	0	1	4.6	271	84564.68895	54	1	2.5
115.998736	40.551127	16	0	1	4.6	5	0.0	104	1	2.0
116.753897	40.633443	10	50	5	4.1	771	84142.79653	81	3	4.0
116.54337	39.900199	2	64	2	4.4	17	25356.25864	60	1	1.5
115.784943	40.078124	9	20	5	3.6	30	0.0	40	1	2.0
116.357066	39.931825	15	0	4	4.6	148	1358.777248	40	1	2.0
116.206315	40.365173	1	20	5	3.6	45	32969824.84	15	1	2.0
115.908906	40.003303	9	35	5	4.1	233	6309342.101	31	1	3.0
116.132674	40.162717	1	0	2	4.5	41	0.0	12	1	2.0
116.395033	39.895727	15	0	1	4.3	98	0.0	202	1	1.5
116.69273	40.180524	13	20	4	5.0	6	1570176.903	11	4	3.0
116.678223	40.531642	8	30	5	4.4	110	852180.3777	27	3	2.0
116.257824	40.422046	16	0	5	4.2	22	0.0	40	1	1.5
116.501214	39.983954	2	58	2	4.2	339	4993.380333	24	1	1.5
116.488821	40.466902	8	46	5	4.4	245	24941217.35	48	1	2.5
115.594264	39.634276	5	195	6	4.3	105	50901.34807	24	1	3.5
115.66802	39.617798	5	20	6	5.0	3	399938.5376	27	1	1.0
115.716289	40.074227	9	0	5	5.0	6	0.0	75	1	2.0
116.413688	39.864015	4	0	2	4.7	82	0.0	3	1	1.0
116.495174	39.986104	2	0	2	4.2	17	0.0	34	1	1.5
116.398021	39.900505	4	0	1	4.6	541	0.0	2300	1	1.5
115.606704	40.033678	9	0	5	3.9	20	0.0	79	1	16.0
115.969777	40.525178	16	259	6	4.3	420	387890.7824	25	1	3.5
116.009988	40.357944	16	0	2	4.0	3	0.0	251	1	0.5
116.295248	39.987001	7	0	4	4.5	198	385915.3925	78	1	2.0
116.155762	39.793125	6	0	2	4.5	71	0.0	11	1	2.0
116.382469	39.906116	15	0	4	4.7	50	3860.636431	25	1	2.0
116.423493	39.910429	4	0	2	4.6	137	10618.63362	32	1	2.5
116.662897	39.914502	14	0	4	4.5	142	340520.3335	30	1	2.0
116.106782	40.325195	1	15	5	3.7	65	91497387.02	26	1	2.0
116.512579	39.971277	2	0	4	4.6	115	643501.2034	77	3	1.5
117.246737	40.226566	11	80	5	4.1	327	4072648.286	23	1	4.0
116.524309	40.500558	16	40	1	4.6	79	13306852.11	22	1	1.5
115.560624	40.02231	9	40	5	4.3	84	23781324.6	49	1	1.5
116.681212	39.852698	14	624	6	4.5	3534	1493568.706	819	1	8.0
116.300442	40.009143	7	10	1	4.7	19667	3336877.979	7545	5	2.5
116.397755	39.903179	4	0	1	4.8	14196	250003.1338	16368	1	1.5
116.401304	39.905374	4	0	2	4.8	4278	123008.8977	1190	1	3.5
116.397815	39.902517	4	0	2	4.6	786	58607.5159	165	1	0.75
116.383068	39.945538	15	20	1	4.7	689	21880.23116	654	1	1.5
116.397691	39.904632	4	0	1	4.6	682	10186.8376	2243	1	1.0
115.930021	39.689369	5	30	1	4.4	859	118197.6851	76	4	2.0
116.411999	39.915948	4	49	2	4.2	334	1000.0	0	1	1.5
116.30619	39.918697	7	90	3	4.4	2187	38047.25468	75	1	3.0
116.307016	39.918852	7	80	4	4.4	1773	109278.5153	737	1	2.0
116.390909	39.891935	15	0	4	4.3	159	0.0	455	1	2.0
116.402591	39.943873	4	0	4	4.3	188	1498.208418	456	1	1.5
115.624433	39.632105	5	48	5	4.4	565	2863065.187	89	1	3.5
115.506366	39.65751	5	37	5	3.9	60	301000000.0	11	1	3.5
116.225969	39.850387	6	20	1	4.6	141	425565.9048	565	1	0.5
116.482276	39.944093	2	0	4	4.6	1029	2694233.409	375	4	3.0
116.776367	40.565101	10	58	5	4.5	709	3908830.549	256	4	4.0
116.786169	40.542212	10	78	5	4.5	321	19266587.61	193	1	6.0
116.407827	39.976114	2	0	1	4.3	126	664426.413	114	1	1.5
117.170193	40.245919	11	75	5	4.3	458	4773926.452	61	4	3.5
115.977528	40.338935	16	54	1	4.6	409	6180535.744	190	3	2.5
116.42793	39.901271	4	10	1	4.6	352	125394.162	222	4	1.5
117.256998	40.314023	11	78	5	4.5	1070	2000000.0	35	1	3.0
116.106103	40.052849	7	20	1	4.5	246	77200.0	480	3	2.0
116.415071	39.934112	4	0	1	3.8	23	6632.185128	76	1	1.0
116.315327	39.893297	6	0	4	4.6	676	427354.3373	107	2	2.5
116.358742	39.925693	15	0	2	4.6	315	5024.916992	154	1	1.0
116.499122	39.9844	2	0	2	4.2	339	197206.754	407	1	3.0
116.367443	39.924802	15	20	1	4.7	157	21500.0	193	1	1.5
116.352206	39.916423	15	0	4	4.5	490	61751.2355	87	1	1.0
116.344962	39.967038	7	30	1	4.3	288	30000.0	166	3	2.5
116.22609	39.851425	6	0	1	4.5	144	213592.5458	208	1	1.5
116.373637	39.937478	15	0	4	4.5	45	0.0	115	1	0.2
116.406554	39.923264	4	0	1	3.8	133	83491.17307	91	1	2.5
116.401388	39.899814	4	0	2	4.0	77	7832.722937	55	1	1.5
116.674971	40.432806	8	0	1	4.4	7	1488.967341	23	1	1.5
116.345924	39.895064	15	0	1	4.7	60	6254.108793	210	1	1.5
116.38457	39.895313	15	0	4	4.6	5	102580.1232	549	1	1.0
116.248805	39.884168	6	239	6	4.4	1853	277519.7644	12	1	5.5
116.399716	39.899804	4	0	4	4.3	28	3500.0	49	1	0.2
116.431111	39.91081	4	0	2	4.6	83	2335.427439	30	1	1.0
116.688349	39.908314	14	0	4	4.8	36	3680000.0	9024	5	4.0
116.24843	40.303961	1	45	1	4.5	342	2393231.035	670	5	1.5
116.225759	40.294843	1	60	1	4.4	945	210371.1033	1175	5	1.0
116.223201	40.254311	1	30	1	4.4	133	302229.8482	303	5	2.0
115.610697	39.64063	5	0	5	4.5	670	50901.34807	404	4	3.5
